,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,StudentAbsenceDays,Class,Discussion-Binned
0,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.15,0.16161616161616163,2,20,Good,0,M,Low
1,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.2,0.20202020202020202,3,25,Good,0,M,Low
2,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.1,0.0707070707070707,0,30,Bad,1,L,Low
3,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.3,0.25252525252525254,5,35,Bad,1,L,Medium
4,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.4,0.5050505050505051,12,50,Bad,1,M,Medium
5,F,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.42,0.30303030303030304,13,70,Bad,1,M,High
6,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.35,0.12121212121212122,0,17,Bad,1,L,Low
7,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.5,0.10101010101010101,15,22,Good,0,M,Low
8,F,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.12,0.21212121212121213,16,50,Good,0,M,Medium
9,F,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.7,0.8080808080808081,25,70,Good,0,M,High
10,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.5,0.8888888888888888,30,80,Good,0,H,High
11,M,KW,KuwaIT,MiddleSchool,5,B,Math,F,Father,0.19,0.06060606060606061,19,12,Good,0,M,Low
12,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.05,0.010101010101010102,0,11,Bad,1,L,Low
13,M,lebanon,lebanon,MiddleSchool,6,A,Math,F,Father,0.2,0.1414141414141414,12,19,Bad,1,L,Low
14,F,KW,KuwaIT,MiddleSchool,6,A,Math,F,Mum,0.62,0.7070707070707071,44,60,Bad,1,H,Medium
15,F,KW,KuwaIT,MiddleSchool,4,A,IT,F,Father,0.3,0.40404040404040403,22,66,Good,0,M,Medium
16,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.36,0.30303030303030304,20,80,Bad,1,M,High
17,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.55,0.13131313131313133,35,90,Bad,1,M,High
18,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Mum,0.46,0.15151515151515152,36,96,Good,0,M,High
19,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Mum,0.7,0.5050505050505051,40,99,Good,0,H,High
20,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.6,0.6060606060606061,33,90,Bad,1,M,High
21,F,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.1,0.12121212121212122,4,80,Bad,0,M,High
22,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.15,0.21212121212121213,2,90,Bad,0,M,High
23,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.02,0.0,2,50,Bad,1,L,Medium
24,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.0,0.020202020202020204,3,70,Good,1,L,High
25,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.08,0.0707070707070707,30,40,Good,1,L,Medium
26,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.19,0.1919191919191919,25,40,Bad,0,M,Medium
27,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,F,Father,0.25,0.15151515151515152,12,33,Bad,1,L,Low
28,M,KW,KuwaIT,MiddleSchool,6,A,Science,F,Father,0.75,0.8585858585858586,52,43,Good,0,M,Medium
29,F,KW,KuwaIT,MiddleSchool,6,A,Arabic,F,Father,0.3,0.9090909090909091,33,35,Bad,0,M,Medium
30,F,KW,KuwaIT,MiddleSchool,6,A,Arabic,F,Father,0.35,0.8080808080808081,50,70,Good,0,H,High
31,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.04,0.050505050505050504,40,16,Good,1,L,Low
32,F,KW,KuwaIT,lowerlevel,5,A,IT,F,Father,0.02,0.1919191919191919,10,50,Good,1,L,Medium
33,M,KW,KuwaIT,lowerlevel,3,A,English,F,Father,0.08,0.2222222222222222,9,40,Bad,1,L,Medium
34,M,KW,KuwaIT,MiddleSchool,5,B,Science,F,Father,0.12,0.1111111111111111,8,40,Bad,1,L,Medium
35,M,KW,KuwaIT,MiddleSchool,5,B,Science,F,Mum,0.08,0.06060606060606061,4,22,Good,1,L,Low
36,F,Egypt,Egypt,MiddleSchool,5,A,IT,F,Father,0.45,0.5454545454545454,26,90,Good,0,M,High
37,M,KW,KuwaIT,MiddleSchool,4,A,IT,F,Father,0.0,0.0,0,4,Bad,1,L,Low
38,F,SaudiArabia,SaudiArabia,MiddleSchool,5,B,Science,F,Father,0.5,0.9090909090909091,37,70,Good,0,M,High
39,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.14,0.13131313131313133,3,70,Bad,1,L,High
40,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.19,0.20202020202020202,16,50,Good,0,M,Medium
41,M,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.1,0.12121212121212122,7,33,Good,1,L,Low
42,F,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.3,0.35353535353535354,28,90,Good,0,M,High
43,F,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.33,0.3333333333333333,30,90,Bad,0,M,High
44,M,KW,KuwaIT,MiddleSchool,5,A,Quran,F,Father,0.2,0.12121212121212122,15,70,Good,1,L,High
45,M,KW,KuwaIT,lowerlevel,3,A,English,F,Father,0.07,0.10101010101010101,1,30,Bad,1,L,Low
46,F,KW,KuwaIT,HighSchool,10,A,English,F,Mum,0.7,0.04040404040404041,39,90,Good,0,H,High
47,F,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.29,0.3939393939393939,50,77,Good,0,M,High
48,F,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.2,0.1414141414141414,12,70,Bad,1,L,High
49,M,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.39,0.15151515151515152,16,50,Good,1,L,Medium
50,F,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.55,0.9090909090909091,16,40,Bad,0,M,Medium
51,F,KW,KuwaIT,HighSchool,9,A,Science,F,Mum,0.49,0.7070707070707071,19,75,Good,0,H,High
52,M,KW,KuwaIT,HighSchool,10,A,English,F,Mum,0.12,0.5050505050505051,8,30,Bad,1,L,Low
53,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.16,0.1414141414141414,6,20,Good,1,L,Low
54,M,USA,USA,MiddleSchool,6,B,Math,F,Father,0.19,0.050505050505050504,4,1,Good,1,L,Low
55,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.05,0.020202020202020204,6,5,Good,1,L,Low
56,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.28,0.6060606060606061,19,50,Good,0,M,Medium
57,F,USA,USA,MiddleSchool,5,A,Math,F,Father,0.27,0.2222222222222222,22,40,Good,0,M,Medium
58,F,Jordan,Jordan,lowerlevel,3,A,English,F,Mum,0.21,0.10101010101010101,28,20,Good,1,L,Low
59,M,KW,KuwaIT,HighSchool,8,A,IT,F,Father,0.5,0.7070707070707071,32,40,Good,0,M,Medium
60,M,venzuela,venzuela,HighSchool,8,A,IT,F,Mum,0.8,0.9090909090909091,70,80,Good,0,H,High
61,M,KW,KuwaIT,HighSchool,8,A,IT,F,Father,0.17,0.13131313131313133,16,12,Bad,0,M,Low
62,M,KW,KuwaIT,HighSchool,8,A,IT,F,Father,0.0,0.050505050505050504,7,2,Bad,1,L,Low
63,F,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.25,0.10101010101010101,19,30,Bad,1,M,Low
64,F,USA,USA,HighSchool,10,A,English,F,Mum,0.65,0.7575757575757576,23,80,Good,0,H,High
65,F,USA,USA,HighSchool,10,A,IT,F,Mum,0.7,0.696969696969697,35,30,Good,0,H,Low
66,M,Jordan,Jordan,MiddleSchool,5,A,IT,F,Father,0.39,0.40404040404040403,11,33,Bad,0,M,Low
67,M,Jordan,Jordan,MiddleSchool,5,A,IT,F,Father,0.22,0.30303030303030304,10,12,Good,1,L,Low
68,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.29,0.2222222222222222,9,20,Good,0,M,Low
69,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.11,0.020202020202020204,2,8,Bad,0,L,Low
70,F,KW,KuwaIT,MiddleSchool,5,A,English,F,Father,0.19,0.30303030303030304,26,19,Bad,1,M,Low
71,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.12,0.0,6,13,Bad,0,L,Low
72,M,Jordan,Jordan,MiddleSchool,5,A,Quran,F,Mum,0.5,0.9090909090909091,29,60,Good,0,M,Medium
73,M,Iran,Iran,HighSchool,7,A,IT,F,Mum,0.15,0.7070707070707071,37,44,Good,0,M,Medium
74,M,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.2,0.8080808080808081,33,33,Good,0,M,Low
75,M,KW,KuwaIT,HighSchool,9,A,Quran,F,Father,0.13,0.030303030303030304,11,9,Bad,1,L,Low
76,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.08,0.15151515151515152,10,40,Bad,0,L,Medium
77,M,KW,KuwaIT,lowerlevel,1,A,IT,F,Father,0.08,0.25252525252525254,1,70,Bad,1,L,High
78,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.07,0.050505050505050504,2,80,Good,1,L,High
79,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.07,0.04040404040404041,10,50,Good,1,M,Medium
80,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.5,0.7070707070707071,50,10,Good,1,H,Low
81,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.01,0.0,1,12,Bad,1,L,Low
82,M,SaudiArabia,SaudiArabia,lowerlevel,1,B,IT,F,Father,0.7,0.12121212121212122,40,50,Good,0,H,Medium
83,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.19,0.7070707070707071,3,50,Bad,0,L,Medium
84,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.03,0.12121212121212122,4,33,Bad,0,L,Low
85,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.05,0.20202020202020202,1,50,Good,1,L,Medium
86,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.04,0.08080808080808081,10,60,Good,1,L,Medium
87,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.8,0.9090909090909091,55,19,Good,0,H,Low
88,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.5,0.7070707070707071,19,15,Good,0,H,Low
89,M,USA,USA,lowerlevel,1,B,IT,F,Father,0.55,0.898989898989899,40,40,Good,0,H,Medium
90,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.8,0.4444444444444444,35,10,Good,1,L,Low
91,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,1.0,0.8080808080808081,2,70,Bad,0,H,High
92,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.14,0.6060606060606061,11,75,Good,0,H,High
93,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.06,0.020202020202020204,38,12,Bad,0,M,Low
94,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.1,0.030303030303030304,0,30,Bad,0,M,Low
95,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.5,0.0707070707070707,9,50,Bad,1,M,Medium
96,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.5,0.9090909090909091,40,90,Bad,0,M,High
97,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Mum,0.7,0.9292929292929293,50,7,Good,0,H,Low
98,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.02,0.06060606060606061,2,8,Bad,1,L,Low
99,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.01,0.0707070707070707,6,10,Bad,1,L,Low
100,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.0,0.12121212121212122,3,3,Good,1,M,Low
101,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.0,0.0,5,80,Good,1,L,High
102,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.12,0.26262626262626265,7,40,Good,0,M,Medium
103,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.7,0.9090909090909091,41,33,Bad,0,H,Low
104,M,SaudiArabia,SaudiArabia,lowerlevel,1,B,IT,F,Father,0.07,0.12121212121212122,5,3,Bad,1,M,Low
105,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.9,0.7070707070707071,30,14,Bad,0,M,Low
106,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.77,0.8080808080808081,51,80,Good,0,M,High
107,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.02,0.050505050505050504,3,50,Bad,1,L,Medium
108,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.25,0.2727272727272727,0,69,Bad,1,L,High
109,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.11,0.020202020202020204,0,50,Bad,1,L,Medium
110,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.0,0.08080808080808081,11,70,Good,1,L,High
111,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.77,0.8080808080808081,12,19,Good,1,M,Low
112,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.25,0.29292929292929293,40,17,Good,0,H,Low
113,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.24,0.35353535353535354,23,22,Good,1,M,Low
114,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.6,0.6060606060606061,3,60,Bad,0,M,Medium
115,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.21,0.12121212121212122,0,50,Good,0,M,Medium
116,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.0,0.04040404040404041,8,30,Bad,1,L,Low
117,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.66,0.9090909090909091,55,12,Good,1,M,Low
118,F,lebanon,lebanon,lowerlevel,1,B,IT,F,Father,0.7,0.98989898989899,7,5,Good,0,M,Low
119,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.0,0.06060606060606061,4,15,Bad,0,L,Low
120,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.12,0.30303030303030304,0,17,Good,1,L,Low
121,F,Iran,Iran,lowerlevel,1,C,IT,F,Father,0.02,0.09090909090909091,7,55,Good,0,M,Medium
122,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.55,0.3333333333333333,6,9,Bad,1,L,Low
123,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.12,0.10101010101010101,20,16,Bad,0,L,Low
124,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.7,0.9090909090909091,2,2,Good,0,L,Low
125,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.07,0.09090909090909091,5,30,Bad,1,L,Low
126,M,Jordan,Jordan,lowerlevel,1,C,IT,F,Father,0.8,0.42424242424242425,20,50,Good,0,M,Medium
127,M,KW,KuwaIT,lowerlevel,1,C,IT,S,Father,0.0,0.030303030303030304,10,3,Bad,1,L,Low
128,M,KW,KuwaIT,lowerlevel,1,A,IT,S,Father,0.12,0.6060606060606061,0,70,Good,1,L,High
129,M,KW,KuwaIT,MiddleSchool,5,A,Quran,S,Father,0.8,0.8080808080808081,15,70,Good,0,H,High
130,F,KW,USA,HighSchool,9,A,Quran,S,Mum,0.7,0.8080808080808081,95,70,Good,0,H,High
131,F,KW,USA,HighSchool,9,A,Quran,F,Mum,0.6,0.8080808080808081,50,40,Bad,0,M,Medium
132,F,Jordan,Egypt,MiddleSchool,5,A,Quran,F,Mum,1.0,0.8080808080808081,95,90,Bad,0,H,High
133,M,Jordan,USA,MiddleSchool,5,A,Quran,F,Mum,1.0,0.8585858585858586,85,70,Bad,0,M,High
134,M,Tunis,Tunis,MiddleSchool,5,A,Quran,F,Father,0.1,0.6060606060606061,5,20,Bad,1,L,Low
135,M,Tunis,Tunis,MiddleSchool,5,A,Quran,S,Father,0.19,0.6565656565656566,50,10,Bad,1,L,Low
136,M,Tunis,Tunis,MiddleSchool,5,A,Quran,S,Father,0.1,0.7575757575757576,55,11,Good,0,M,Low
137,M,KW,KuwaIT,MiddleSchool,5,A,Quran,S,Father,0.8,0.9090909090909091,55,19,Good,0,H,Low
138,M,KW,KuwaIT,MiddleSchool,5,A,Quran,S,Father,0.1,0.10101010101010101,15,19,Bad,1,L,Low
139,M,Tunis,SaudiArabia,MiddleSchool,5,A,Quran,S,Father,0.7,0.7575757575757576,55,11,Bad,0,M,Low
140,F,lebanon,lebanon,MiddleSchool,5,A,Quran,S,Mum,1.0,0.7575757575757576,50,70,Good,0,H,High
141,F,lebanon,lebanon,MiddleSchool,5,A,Quran,S,Father,0.1,0.797979797979798,30,30,Bad,0,M,Low
142,F,Jordan,Jordan,MiddleSchool,5,A,Quran,S,Father,0.6,0.5555555555555556,30,40,Bad,0,M,Medium
143,F,Jordan,lebanon,MiddleSchool,5,A,Quran,S,Mum,1.0,0.7575757575757576,50,70,Bad,0,H,High
144,M,SaudiArabia,SaudiArabia,HighSchool,9,A,Quran,S,Father,0.8,0.8080808080808081,51,59,Good,0,H,Medium
145,M,SaudiArabia,USA,HighSchool,9,A,Science,S,Father,0.23,0.6363636363636364,71,89,Good,0,M,High
146,F,SaudiArabia,USA,HighSchool,9,B,Science,S,Father,1.0,0.9191919191919192,98,40,Bad,0,H,Medium
147,M,SaudiArabia,USA,HighSchool,9,B,Spanish,S,Father,0.1,0.5151515151515151,40,40,Bad,1,L,Medium
148,M,SaudiArabia,USA,HighSchool,9,B,English,S,Father,0.7,0.5050505050505051,33,41,Bad,1,M,Medium
149,M,SaudiArabia,USA,HighSchool,9,B,Math,S,Father,0.7,0.5858585858585859,73,91,Bad,0,H,High
150,F,Tunis,USA,HighSchool,9,B,French,S,Father,0.7,0.5050505050505051,30,49,Good,0,M,Medium
151,M,Tunis,Tunis,HighSchool,9,B,Science,S,Father,0.7,0.5050505050505051,33,40,Good,0,M,Medium
152,M,Tunis,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.22,0.5151515151515151,48,10,Bad,1,L,Low
153,F,KW,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.62,0.6868686868686869,48,80,Good,0,M,High
154,F,Jordan,Jordan,MiddleSchool,5,B,Science,S,Mum,0.82,0.898989898989899,58,50,Good,0,H,Medium
155,M,Jordan,Jordan,MiddleSchool,5,B,Science,S,Mum,0.72,0.8080808080808081,58,66,Bad,0,M,Medium
156,F,Jordan,Jordan,lowerlevel,1,B,French,S,Mum,0.7,0.8282828282828283,3,73,Bad,0,H,High
157,F,Jordan,USA,lowerlevel,1,B,French,S,Mum,0.6,0.8282828282828283,93,43,Bad,1,M,Medium
158,M,Jordan,Jordan,lowerlevel,1,B,French,S,Mum,0.55,0.7272727272727273,83,14,Good,1,M,Low
159,F,Morocco,Morocco,lowerlevel,1,B,French,S,Mum,0.72,0.6565656565656566,73,66,Good,0,H,Medium
160,M,KW,KuwaIT,lowerlevel,1,B,French,S,Mum,0.51,0.8282828282828283,53,43,Bad,0,M,Medium
